"SITE_ID","NTL","PTL","CHLA","WSA_ECO9","Year"
"NLA06608-0842",71,13,1.557,"WMT",2007
"NLA06608-0843",196,8,2.565,"SAP",2007
"NLA06608-0846",875,39,31.84,"UMW",2007
"NLA06608-0847",3572,395,189.36,"TPL",2007
"NLA06608-0849",189,5,4.696,"WMT",2007
"NLA06608-0850",486,19,2.304,"WMT",2007
"NLA06608-1143",768,59,9.52,"UMW",2007
"NLA06608-1145",724,60,17.829,"SAP",2007
"NLA06608-1162",541,8,3.083,"UMW",2007
"NLA06608-1163",778,11,4.005,"UMW",2007
"NLA06608-1164",424,23,8.08,"SPL",2007
"NLA06608-1166",197,1,1.148,"UMW",2007
"NLA06608-1167",461,5,2.624,"UMW",2007
"NLA06608-1170",240,6,1.22,"WMT",2007
"NLA06608-1172",241,4,3.003,"SAP",2007
"NLA06608-1174",298,4,2.76,"NAP",2007
"NLA06608-1175",1328,69,32.112,"UMW",2007
"NLA06608-1177",328,24,16.64,"CPL",2007
"NLA06608-0358",209,7,3.687,"NAP",2007
"NLA06608-0359",1296,191,42.655,"TPL",2007
"NLA06608-0361",171,19,11.856,"SAP",2007
"NLA06608-0363",567,18,11.68,"UMW",2007
"NLA06608-0366",601,14,7.568,"UMW",2007
"NLA06608-0367",2157,54,59.4,"NAP",2007
"NLA06608-0369",163,1,1.744,"NAP",2007
"NLA06608-0372",229,16,3.16,"SPL",2007
"NLA06608-0373",104,1,0.68,"WMT",2007
"NLA06608-0376",324,6,4.245,"SPL",2007
"NLA06608-0377",850,46,44.928,"SAP",2007
"NLA06608-0378",223,9,0.548,"NPL",2007
"NLA06608-0384",4291,68,3.387,"NPL",2007
"NLA06608-0385",1834,51,2.312,"NPL",2007
"NLA06608-0386",475,9,0.832,"SAP",2007
"NLA06608-0388",85,3,0.33,"SAP",2007
"NLA06608-0488",1070,162,49.68,"SPL",2007
"NLA06608-0489",1275,107,24.32,"SAP",2007
"NLA06608-0501",182,6,0.634,"XER",2007
"NLA06608-0502",648,5,2.28,"UMW",2007
"NLA06608-0503",5916,430,244.8,"TPL",2007
"NLA06608-0508",756,283,28,"CPL",2007
"NLA06608-0509",821,4,1.232,"SAP",2007
"NLA06608-0510",2916,165,71.2,"TPL",2007
"NLA06608-0393",101,8,1.239,"XER",2007
"NLA06608-0395",231,13,30.4,"SAP",2007
"NLA06608-0399",586,13,3.352,"UMW",2007
"NLA06608-0401",279,10,16.16,"NAP",2007
"NLA06608-0402",2287,176,73.728,"WMT",2007
"NLA06608-0403",485,20,5.36,"UMW",2007
"NLA06608-0405",458,16,8.56,"NAP",2007
"NLA06608-0406",172,4,1.232,"WMT",2007
"NLA06608-0407",2872,762,1.813,"TPL",2007
"NLA06608-0408",270,15,5.667,"SPL",2007
"NLA06608-0413",581,106,108.576,"SAP",2007
"NLA06608-0414",1296,40,6.688,"UMW",2007
"NLA06608-0418",296,8,2.184,"NAP",2007
"NLA06608-0421",537,9,2.184,"NAP",2007
"NLA06608-0425",1433,234,16.16,"WMT",2007
"NLA06608-0426",574,5,3.12,"UMW",2007
"NLA06608-0432",644,218,24.8,"CPL",2007
"NLA06608-0433",422,7,1.68,"NAP",2007
"NLA06608-0435",1824,78,23.2,"UMW",2007
"NLA06608-0436",398,29,18.216,"SAP",2007
